Date,Open,High,Low,Close,Adj Close,Volume
2022-01-13,320.4700012207,320.8800048828,304.0,304.799987793,300.5589599609,45366000
2022-01-14,304.25,310.8200073242,303.75,310.200012207,305.8838806152,39846400
2022-01-18,304.0700073242,309.799987793,301.7399902344,302.6499938965,298.4389343262,42333200
2022-01-19,306.2900085449,313.9100036621,302.700012207,303.3299865723,299.1094360352,45933900
2022-01-20,309.0700073242,311.6499938965,301.1400146484,301.6000061035,297.4035339355,35380700
2022-01-21,302.6900024414,304.1099853516,295.6099853516,296.0299987793,291.9110412598,57984400
2022-01-24,292.200012207,297.1099853516,276.049987793,296.3699951172,292.2462463379,85731500
2022-01-25,291.5199890137,294.9899902344,285.1700134277,288.4899902344,284.4759216309,72848600
2022-01-26,307.9899902344,308.5,293.0299987793,296.7099914551,292.5815734863,90428900
2022-01-27,302.6600036621,307.299987793,297.9299926758,299.8399963379,295.66796875,53481300
2022-01-28,300.2300109863,308.4800109863,294.450012207,308.2600097656,303.970916748,49743700
2022-01-31,308.950012207,312.3800048828,306.3699951172,310.9800109863,306.6530151367,46444500
2022-02-01,310.4100036621,310.6300048828,305.1300048828,308.7600097656,304.4638977051,40950400
2022-02-02,309.6300048828,315.1199951172,308.8800048828,313.4599914551,309.0985107422,36636000
2022-02-03,309.4899902344,311.2300109863,299.9599914551,301.25,297.0584106445,43730000
2022-02-04,300.2099914551,308.799987793,299.9700012207,305.9400024414,301.6831359863,35096500
2022-02-07,306.1700134277,307.8399963379,299.8999938965,300.950012207,296.7625427246,28533300
2022-02-08,301.25,305.5599975586,299.950012207,304.5599975586,300.3222961426,32421200
2022-02-09,309.8699951172,311.9299926758,307.3900146484,311.2099914551,306.8797912598,31284700
2022-02-10,304.0400085449,309.1199951172,300.700012207,302.3800048828,298.172668457,45386200
2022-02-11,303.1900024414,304.2900085449,294.2200012207,295.0400085449,290.9348144531,39175600
2022-02-14,293.7699890137,296.7600097656,291.3500061035,295.0,290.8953552246,36359500
2022-02-15,300.0100097656,300.799987793,297.0199890137,300.4700012207,296.2891845703,27058300
2022-02-16,298.3699951172,300.8699951172,293.6799926758,299.5,295.9433898926,29982100
2022-02-17,296.3599853516,296.799987793,290.0,290.7300109863,287.277557373,32461600
2022-02-18,293.049987793,293.8599853516,286.3099975586,287.9299926758,284.5108032227,34264000
2022-02-22,285.0,291.5400085449,284.5,287.7200012207,284.303314209,41736100
2022-02-23,290.1799926758,291.700012207,280.1000061035,280.2699890137,276.9417419434,37811200
2022-02-24,272.5100097656,295.1600036621,271.5199890137,294.5899963379,291.0917358398,56989700
2022-02-25,295.1400146484,297.6300048828,291.6499938965,297.3099975586,293.7794189453,32546700
2022-02-28,294.3099975586,299.1400146484,293.0,298.7900085449,295.2418518066,34627500
2022-03-01,296.3999938965,299.9700012207,292.1499938965,294.950012207,291.4474487305,31217800
2022-03-02,295.3599853516,301.4700012207,293.700012207,300.1900024414,296.625213623,31873000
2022-03-03,302.8900146484,303.1300048828,294.049987793,295.9200134277,292.4059143066,27314500
2022-03-04,294.2900085449,295.6600036621,287.1700134277,289.8599853516,286.4178771973,32356500
2022-03-07,288.5299987793,289.6900024414,278.5299987793,278.9100036621,275.5979003906,43157200
2022-03-08,277.799987793,283.9599914551,270.0,275.8500061035,272.5742492676,48159500
2022-03-09,283.4400024414,289.6000061035,280.7799987793,288.5,285.0740356445,35204500
2022-03-10,283.0199890137,286.6000061035,280.5799865723,285.5899963379,282.1986083984,30628000
2022-03-11,287.9599914551,289.5100097656,279.4299926758,280.0700073242,276.744140625,27209300
2022-03-14,280.3399963379,285.3999938965,275.8200073242,276.4400024414,273.1572265625,30660700
2022-03-15,280.3500061035,287.8200073242,278.7300109863,287.1499938965,283.7400512695,34245100
2022-03-16,289.1099853516,294.5700073242,283.200012207,294.3900146484,290.8941040039,37826300
2022-03-17,293.2900085449,295.6099853516,289.3699951172,295.2200012207,291.7142333984,30816600
2022-03-18,295.3699951172,301.0,292.7300109863,300.4299926758,296.8623352051,43390600
2022-03-21,298.8900146484,300.1400146484,294.8999938965,299.1600036621,295.607421875,28351200
2022-03-22,299.799987793,305.0,298.7699890137,304.0599975586,300.4492492676,27599700
2022-03-23,300.5100097656,303.2300109863,297.7200012207,299.4899902344,295.9334716797,25715400
2022-03-24,299.1400146484,304.200012207,298.3200073242,304.1000061035,300.4888000488,24484500
2022-03-25,305.2300109863,305.5,299.2900085449,303.6799926758,300.0737609863,22566500
2022-03-28,304.3299865723,310.799987793,304.3299865723,310.700012207,307.0103759766,29578200
